,Stop ID,Stop Name,Lat,Lon,Stop Code
1462,RE:2,High Cross & Kyle (East Side),40.131373,-88.162828,MTD3615
1463,RE:4,High Cross & Kyle (NW Corner),40.131507,-88.16291,MTD3615
1464,RESTURBMIN:1,Restoration Urban Ministries (West Side),40.128166,-88.278738,MTD4538
1465,RESTURBMIN:2,Restoration Urban Ministries (East Side),40.1281,-88.278579,MTD4538
1466,RLACRMRJ:3,Rolling Acres & Marjorie (SW Corner),40.067531,-88.292603,MTD2298
1467,RLACRVLKDR:3,Rolling Acres & Valkar Dr. (SW Corner),40.067436,-88.290381,MTD2720
1468,RLNDAZTEC:4,Roland & Aztec (NW Corner),40.143885,-88.273518,MTD0063
1469,RLNDCMCHE:2,Roland & Comanche (SE Corner),40.142357,-88.273202,MTD3644
1470,RLNDCMCHE:4,Roland & Comanche (NW Corner),40.14259,-88.273333,MTD3644
1471,RLNDDBNS:2,Roland & Dobbins (SE Corner),40.141512,-88.273225,MTD6641
1472,RLNDDBNS:4,Roland & Dobbins (NW Corner),40.141685,-88.2733,MTD6641
1473,RMNBRD:2,Romine & Beardsley (SE Corner),40.126207,-88.227545,MTD2512
1474,RMNBRD:4,Romine & Beardsley (NW Corner),40.12641,-88.227695,MTD2512
1475,RMNEADS:2,Romine & Eads (SE Corner),40.123,-88.22714,MTD6362
1476,RMNEADS:4,Romine & Eads (NW Corner),40.123228,-88.227203,MTD6362
1477,RMNTRMNT:2,Romine & Tremont (SE Corner),40.124725,-88.227463,MTD4747
1478,RMNTRMNT:4,Romine & Tremont (NW Corner),40.124778,-88.227493,MTD4747
1479,RNDBRNRD:1,Round Barn Road (South Side),40.111022,-88.280655,MTD4568
1480,RNDBRNRD:2,Round Barn Road (North Side),40.111109,-88.280013,MTD4568
1481,RNDLFAVNDL:2,Randolph & Avondale (SE),40.103362,-88.245013,MTD2242
1482,RNDLFBRAD:1,Randolph & Bradley (NE Corner),40.127273,-88.245068,MTD4563
1483,RNDLFBRAD:2,Randolph & Bradley (SE Corner),40.127048,-88.245162,MTD4563
1484,RNDLFBRAD:8,Randolph & Bradley (NW Far Side),40.127285,-88.245687,MTD4563
1485,RNDLFBRD:2,Randolph & Beardsley (SE),40.126317,-88.245175,MTD5213
1486,CMS:9,CMS:9,40.126468,-88.244528,MTD1236
1487,RNDLFCLARK:2,Randolph & Clark (SE Corner),40.115227,-88.245105,MTD1313
1488,RNDLFCLMBA:1,Randolph & Columbia (NE Corner),40.121223,-88.245083,MTD3365
1489,RNDLFCLMBA:2,Randolph & Columbia (SE Corner),40.121022,-88.245132,MTD3365
1490,RNDLFCLMBA:3,Randolph & Columbia (SW Corner),40.121123,-88.245452,MTD3365
1491,RNDLFERKA:2,Randolph & Eureka (East Side),40.125425,-88.245175,MTD0404
1492,RNDLFHIL:2,Randolph & Hill (SE Corner),40.119113,-88.245138,MTD1211
1493,RNDLFHLY:2,Randolph & Healey (SE Corner),40.111547,-88.245082,MTD4022
1494,RNDLFSPFLD:1,Randolph & Springfield (NE Corner),40.112669,-88.244986,MTD1222
1495,RNDLFSPFLD:3,Randolph & Springfield (SW Corner),40.112542,-88.245277,MTD1222
1496,RNDLFSPFLD:5,Randolph & Springfield (NE Far Side),40.112982,-88.245075,MTD1222
1497,RNDLFSTNAG:2,Randolph & Stanage (SE Corner),40.104845,-88.245022,MTD0256
1498,RNDLFTRMNT:2,Randolph & Tremont (East Side),40.124513,-88.245163,MTD3601
1499,RNDLFVIN:2,Randolph & Vine (SE Corner),40.122043,-88.245167,MTD7567
1500,RNDLFVIN:8,Randolph & Vine (NW Far Side),40.122143,-88.245588,MTD7567
1501,RNDLFWASH:2,Randolph & Washington (SE Corner),40.12007,-88.24514,MTD6645
1502,RNDLFWHT:2,Randolph & White (SE Corner),40.114265,-88.24509,MTD4723
1503,RNDLFWLM:2,Randolph & William (SE Corner),40.106723,-88.24502,MTD3754
1504,RSRCHHZNHBY:2,Research at Horizon Hobby (East Side),40.150076,-88.274978,MTD1241
1505,SCWDIL:2,Scottswood & Illinois (SE Corner),40.108613,-88.173522,MTD6465
1506,SCWDIL:3,Scottswood & Illinois (SW Corner),40.108662,-88.173768,MTD6465
1507,SKYLNNWPRT:3,Skyline & Newport (SW Corner),40.139914,-88.181422,MTD5988
1508,SLVRCTGRV:1,Silver & Cottage Grove (NE Corner),40.091515,-88.19552,MTD6143
1509,SLVRCTGRV:4,Silver & Cottage Grove (NW Corner),40.091545,-88.195687,MTD6143
1510,SLVRFLCHR:1,Silver & Fletcher (NE Corner),40.091517,-88.192937,MTD5144
1511,SLVRFLCHR:3,Silver & Fletcher (SW Corner),40.091445,-88.193208,MTD5144
1512,SLVRVWTR:1,Silver & Vawter (NE Corner),40.091511,-88.191672,MTD6341
1513,SLVRVWTR:3,Silver & Vawter (SW Corner),40.091453,-88.191895,MTD6341
1514,SLYBKIRA:8,Slayback & Ira (NW Far Side),40.117224,-88.175585,MTD3223
1515,SLYBKMG:1,Slayback & McGee (NE Corner),40.117183,-88.177408,MTD1520
1516,SLYBKSMITH:1,Slayback & Smith (NE Corner),40.11717,-88.178395,MTD6700
1517,SMITH150:3,Smith & U.S. 150 (SW Corner),40.114167,-88.179472,MTD6012
1518,SMITH150:4,Smith & U.S. 150 (NW Corner),40.114268,-88.17852,MTD6012
1519,SMITHCRE:4,Smith & Carrie (NW Corner),40.115543,-88.178523,MTD6246
1520,SMRGRIF:1,St. Mary's & Griffith (NE Corner),40.09451,-88.24318,MTD2247
1521,SMRNBVW:2,Smith & Rainbowview (SE Corner),40.103943,-88.176257,MTD6163
1522,SMROAK:1,St. Mary's & Oak (NE Corner),40.094518,-88.241235,MTD6654
1523,SMROAK:2,St. Mary's & Oak (SE Corner),40.09432,-88.24141,MTD6654
1524,SMROAK:3,St. Mary's & Oak (SW Corner),40.094412,-88.241653,MTD6654
1525,SMROAK:4,St. Mary's & Oak (NW Corner),40.094558,-88.241468,MTD6654
1526,SMRSGSWTCHGRS:2,Summersage & Switchgrass (SE Corner),40.12702,-88.309089,MTD3325
1527,SPFLD:3,Springfield at Round Barn (SW Corner),40.112789,-88.278994,MTD3162
